Answer,Attempts,Correct,Accuracy
CARSON,10.0,10,1.0
TSAI,9.25,9,0.972972972972973
KURALT,5.0,5,1.0
RENEE,7.0,6,0.8571428571428571
ANA,7.5,6,0.8
ARIANA,13.0,13,1.0
CRAB,10.0,10,1.0
AGETEN,4.0,4,1.0
EKE,8.0,8,1.0
DIURNAL,7.0,7,1.0
CUB,8.0,8,1.0
OLEELO,5.0,5,1.0
IBM,10.0,10,1.0
ANI,9.0,9,1.0
HOHO,6.0,6,1.0
ETTA,7.0,7,1.0
UTE,5.0,5,1.0
TEAS,6.0,6,1.0
CURT,7.0,7,1.0
PICA,11.75,11,0.9361702127659575
TASSEL,4.0,3,0.75
OTIS,12.0,10,0.8333333333333334
ARETHA,6.0,6,1.0
ING,7.0,7,1.0
NOIR,11.0,8,0.7272727272727273
YENS,10.0,10,1.0
ACME,6.0,5,0.8333333333333334
SHAG,6.0,6,1.0
PRADA,12.0,12,1.0
ASPS,4.0,4,1.0
OWN,8.0,8,1.0
OBERON,9.0,8,0.8888888888888888
ARE,6.0,6,1.0
SID,11.0,11,1.0
LIV,7.0,7,1.0
HALL,6.0,6,1.0
ILIAD,7.0,7,1.0
RICCI,9.0,9,1.0
PAT,5.0,5,1.0
ELL,5.0,5,1.0
CLARA,6.0,6,1.0
ABIE,7.0,7,1.0
NASA,10.0,9,0.9
AAMILNE,3.0,3,1.0
ENNUI,7.0,7,1.0
BLONDEVENUS,10.0,8,0.8
UTA,5.0,4,0.8
ELITE,8.0,8,1.0
ERIE,7.0,6,0.8571428571428571
AMA,6.0,6,1.0
RIRI,14.0,14,1.0
MAY,9.25,9,0.972972972972973
NADIA,7.75,7,0.9032258064516128
LADD,6.0,5,0.8333333333333334
BIGMARY,7.0,7,1.0
ADA,11.5,9,0.782608695652174
MONAE,5.0,4,0.8
EVERANDANON,11.0,11,1.0
BROSNAN,11.0,10,0.9090909090909092
ASTAIRE,14.0,14,1.0
GOOSELIVER,8.0,6,0.75
ASHES,14.0,13,0.9285714285714286
OPERAS,9.0,9,1.0
ALI,11.0,11,1.0
ALBS,5.0,5,1.0
CHANG,13.0,12,0.9230769230769231
SICS,5.0,3,0.6
OILER,10.0,10,1.0
ALF,9.0,9,1.0
USO,8.0,4,0.5
MASSE,15.0,15,1.0
HIHO,4.0,4,1.0
HOBNOB,12.25,12,0.979591836734694
CPA,7.0,6,0.8571428571428571
NSA,6.0,5,0.8333333333333334
HALE,8.5,8,0.9411764705882352
OTOE,4.0,4,1.0
SARAS,11.0,11,1.0
FIEF,7.0,7,1.0
CONDO,7.25,7,0.9655172413793104
TRICK,10.75,10,0.9302325581395348
INTRIGUE,6.75,5,0.7407407407407407
ANKARA,8.0,6,0.75
INSP,13.0,13,1.0
ETTE,9.0,8,0.8888888888888888
PEAT,11.0,11,1.0
FRIAR,7.0,7,1.0
OSCAR,10.0,10,1.0
NOBEL,8.0,7,0.875
ARABIC,10.0,10,1.0
OMANI,4.25,4,0.9411764705882352
NEVA,9.0,9,1.0
DUEDATE,9.25,5,0.5405405405405406
TERRIER,8.0,4,0.5
HAITI,4.0,3,0.75
ANKH,9.0,9,1.0
TEAR,11.0,11,1.0
BRAC,9.0,8,0.8888888888888888
KLEE,12.0,12,1.0
EMILE,12.0,10,0.8333333333333334
SUFI,5.25,4,0.7619047619047619
SKOSH,10.0,7,0.7
LABRADOR,10.0,9,0.9
STAIRS,9.25,8,0.8648648648648649
IVEY,7.0,5,0.7142857142857143
BEGOT,9.0,8,0.8888888888888888
EVIAN,15.0,14,0.9333333333333332
LENYA,14.0,11,0.7857142857142857
FRESCO,10.5,8,0.7619047619047619
SOUP,11.0,10,0.9090909090909092
NATE,7.0,7,1.0
ODE,11.0,11,1.0
ACLU,10.5,10,0.9523809523809524
OUTEAT,15.0,15,1.0
PSAS,9.0,8,0.8888888888888888
MERS,10.0,9,0.9
ELENA,11.0,8,0.7272727272727273
ELIS,4.75,4,0.8421052631578947
ASCOT,10.0,9,0.9
DSO,9.0,5,0.5555555555555556
AGA,14.0,14,1.0
OBESE,11.0,10,0.9090909090909092
SMITS,8.0,7,0.875
SOME,5.0,5,1.0
SERAPE,8.5,5,0.5882352941176471
MEG,7.0,6,0.8571428571428571
ADAGIO,5.0,4,0.8
URAL,8.25,5,0.6060606060606061
ESPY,6.0,6,1.0
HANS,6.0,6,1.0
EUCHRE,4.75,4,0.8421052631578947
MIA,9.75,9,0.9230769230769232
ROLF,5.0,3,0.6
NICENE,11.0,11,1.0
NCO,5.5,4,0.7272727272727273
WHIGS,4.75,4,0.8421052631578947
ALCOA,7.75,5,0.6451612903225806
SNOG,5.0,5,1.0
NOLTE,7.25,5,0.6896551724137931
ENID,12.5,9,0.72
JILT,4.25,4,0.9411764705882352
SINAI,10.0,8,0.8
ELLIS,4.0,4,1.0
ELS,4.0,4,1.0
GOYA,10.0,10,1.0
LULU,10.5,9,0.8571428571428571
LOUPE,5.25,3,0.5714285714285714
CASED,6.0,6,1.0
UMA,9.75,6,0.6153846153846154
SHIA,6.75,5,0.7407407407407407
AMI,7.0,7,1.0
KEN,7.75,7,0.9032258064516129
MIB,5.0,5,1.0
ANEMIA,11.75,6,0.5106382978723404
RAJA,4.0,3,0.75
SABLES,7.25,5,0.6896551724137931
NEREID,9.75,9,0.9230769230769232
CAVORT,5.0,4,0.8
MEHTA,9.25,6,0.6486486486486487
UPPER,7.25,7,0.9655172413793104
GRE,9.5,8,0.8421052631578947
BEY,7.0,7,1.0
OVA,5.5,4,0.7272727272727273
ROWLF,7.0,7,1.0
AIDE,4.0,4,1.0
SAMOSA,10.75,6,0.5581395348837209
OTB,5.25,4,0.7619047619047619
SANAA,9.25,5,0.5405405405405406
SCOUR,7.0,7,1.0
DIME,6.0,6,1.0
AMNIO,9.75,6,0.6153846153846154
STA,4.0,4,1.0
ARIE,6.5,5,0.7692307692307693
LARAM,7.0,7,1.0
STRO,7.25,5,0.6896551724137931
ALTA,6.5,5,0.7692307692307693
HOPS,4.0,4,1.0
IAMBS,23.0,12,0.5217391304347826
NORAH,7.5,5,0.6666666666666666
BRODY,11.25,6,0.5333333333333333
CHANEY,9.25,6,0.6486486486486487
GUAM,3.0,3,1.0
SHEEN,7.0,7,1.0
INERT,5.75,5,0.8695652173913043
HERESY,5.25,4,0.7619047619047619
SKI,4.0,4,1.0
DEIST,3.0,2,0.6666666666666666
COTE,4.0,4,1.0
PIGPEN,7.0,6,0.8571428571428571
OLGA,5.0,5,1.0
PERT,3.25,3,0.9230769230769232
ROMANS,4.0,4,1.0
DEIGNS,4.0,4,1.0
GIRL,3.0,3,1.0
ELLE,7.75,4,0.5161290322580645
NHL,5.0,5,1.0
DELI,3.0,3,1.0
ABA,4.0,4,1.0
RUSSO,13.0,7,0.5384615384615384
INUIT,6.75,6,0.8888888888888888
IRE,6.0,6,1.0
ETHAN,4.0,4,1.0
EWES,4.0,4,1.0
ADRIAN,5.0,4,0.8
GERE,4.0,4,1.0
OAHU,6.0,4,0.6666666666666666
TECATE,4.5,4,0.8888888888888888
ISAAK,7.25,7,0.9655172413793104
ATTA,4.25,4,0.9411764705882352
EROS,6.0,6,1.0
NIH,11.25,6,0.5333333333333333
SELIG,8.25,5,0.6060606060606061
SOCAL,6.0,6,1.0
SEDAKA,18.25,11,0.6027397260273972
LEN,7.0,4,0.5714285714285714
ANTARES,11.25,6,0.5333333333333333
NASSER,9.5,6,0.631578947368421
ETHANE,6.0,5,0.8333333333333334
OVETT,10.0,5,0.5
BPOSITIVE,8.75,8,0.9142857142857143
DONA,3.0,2,0.6666666666666666
LOTUSES,5.0,5,1.0
GREEDO,4.0,4,1.0
EURAIL,4.0,4,1.0
PISA,4.0,4,1.0
SEDER,5.0,5,1.0
AEON,6.0,6,1.0
GIGI,5.25,5,0.9523809523809523
SARONG,11.5,7,0.6086956521739131
BAG,4.5,4,0.8888888888888888
SAIGON,4.0,2,0.5
STINGS,6.0,6,1.0
CLEFT,5.0,3,0.6
GLORY,7.5,7,0.9333333333333333
DORIC,4.0,4,1.0
AMOCO,6.5,4,0.6153846153846154
CARLITO,4.75,4,0.8421052631578947
OLSENS,4.0,4,1.0
CUOCO,5.5,4,0.7272727272727273
BRICKBAT,8.25,5,0.6060606060606061
BUNTS,3.75,3,0.8
SCREE,4.25,4,0.9411764705882352
LATHE,3.0,2,0.6666666666666666
MINETA,11.75,6,0.5106382978723404
ONO,6.75,6,0.8888888888888888
ITINERANT,3.75,2,0.5333333333333333
DANO,5.75,3,0.5217391304347826
LAMA,5.0,5,1.0
OMAHA,4.0,4,1.0
LAKES,3.0,3,1.0
SHOD,7.0,7,1.0
IDEATE,4.0,4,1.0
EMIRS,6.25,3,0.48
DUVET,5.0,5,1.0
ABBY,5.0,4,0.8
ALIG,3.5,3,0.8571428571428571
ETRE,5.0,4,0.8
SELMA,4.0,3,0.75
STROP,9.25,5,0.5405405405405406
STAID,4.5,4,0.8888888888888888
NYY,6.0,6,1.0
MCGRAW,5.0,5,1.0
SERB,8.0,8,1.0
GORE,5.0,5,1.0
EROICA,5.0,4,0.8
RIC,5.25,4,0.7619047619047619
LEA,7.0,7,1.0
ENOKI,6.0,6,1.0
SPIRO,6.25,4,0.64
STRAM,7.5,4,0.5333333333333333
YALIE,5.0,4,0.8
ISAK,13.5,8,0.5925925925925926
ONICE,6.0,6,1.0
GLACE,7.0,6,0.8571428571428571
TAPA,4.0,4,1.0
TFAL,6.25,5,0.8
HAFT,5.75,5,0.8695652173913043
OMAN,5.0,4,0.8
HASP,3.0,3,1.0
TIMON,3.75,3,0.8
CHIPPEWA,11.25,6,0.5333333333333333
VAIO,4.0,4,1.0
WRITS,7.0,7,1.0
NENE,5.0,3,0.6
MIRE,8.0,8,1.0
FDA,4.0,4,1.0
LENO,6.0,5,0.8333333333333334
DODO,5.0,5,1.0
LYNDON,3.25,2,0.6153846153846154
IDLI,5.25,3,0.5714285714285714
VOILE,5.0,3,0.6
MITRE,4.0,4,1.0
TZONE,3.0,3,1.0
TELAVIV,3.0,2,0.6666666666666666
TAMS,4.75,3,0.631578947368421
ARIAS,4.0,3,0.75
REAM,5.0,4,0.8
EMMA,9.75,9,0.9230769230769231
POOLE,4.25,4,0.9411764705882352
TBS,5.0,5,1.0
TIVO,5.5,5,0.9090909090909092
ERICH,3.75,2,0.5333333333333333
ACCRA,6.0,4,0.6666666666666666
ARLES,6.0,6,1.0
SLOANE,3.0,3,1.0
ELAND,5.0,5,1.0
BRODIE,5.0,3,0.6
HAYS,6.0,5,0.8333333333333334
DEAD,3.0,3,1.0
DEFOE,5.75,4,0.6956521739130435
TILSIT,3.25,3,0.9230769230769232
TARTT,12.75,6,0.47058823529411764
BERRA,6.0,6,1.0
ELWES,6.75,5,0.7407407407407407
NINO,4.75,4,0.8421052631578947
BRISBANE,3.0,3,1.0
ANAHEIM,5.5,3,0.5454545454545454
NEAL,6.75,5,0.7407407407407407
INLIEU,7.0,7,1.0
BALKY,5.0,5,1.0
IDINA,5.0,3,0.6
DEE,3.75,2,0.5333333333333333
LOTTA,6.0,6,1.0
AMVETS,3.5,3,0.8571428571428571
AVON,4.0,3,0.75
BEA,5.0,4,0.8
BILK,4.75,4,0.8421052631578947
MAE,4.5,4,0.8888888888888888
CCR,3.75,3,0.8
WALT,5.0,5,1.0
GOTHS,6.0,6,1.0
PEPA,6.0,6,1.0
FIESTA,4.0,4,1.0
GTOS,4.0,4,1.0
AWL,4.0,4,1.0
LAPEL,5.0,5,1.0
IAN,6.5,6,0.9230769230769231
LEB,7.0,7,1.0
POSER,3.0,3,1.0
ALBA,3.0,3,1.0
EPONYM,4.0,4,1.0
MOAB,3.0,3,1.0
BONO,6.0,6,1.0
LAMPOONED,5.0,4,0.8
IRAQ,6.75,6,0.8888888888888888
AARON,3.0,3,1.0
CHARLIE,3.0,3,1.0
STYLE,5.0,5,1.0
TYNER,11.25,7,0.6222222222222222
LOON,5.0,5,1.0
MSDOS,4.0,2,0.5
LISA,4.0,4,1.0
RAE,3.0,3,1.0
TEDDY,3.0,3,1.0
KEIRA,4.0,4,1.0
POET,5.0,4,0.8
ESE,3.0,3,1.0
GELT,4.75,4,0.8421052631578947
ONEA,4.0,3,0.75
EGRET,3.0,2,0.6666666666666666
MOA,15.0,9,0.6
SCOW,8.0,4,0.5
EGOT,7.0,6,0.8571428571428571
RATT,3.0,3,1.0
APB,3.0,3,1.0
PESCI,6.25,4,0.64
PINOT,4.0,2,0.5
NOHO,5.0,4,0.8
ESAI,4.0,2,0.5
ECHOPARK,7.0,6,0.8571428571428571
AFRAME,5.0,5,1.0
ETHOS,4.0,4,1.0
XHOSA,6.0,5,0.8333333333333334
TYSON,8.0,4,0.5
SLC,3.75,3,0.8
ELIDE,3.0,2,0.6666666666666666
PRES,4.0,2,0.5
ICET,3.0,3,1.0
LASALLE,12.25,7,0.5714285714285714
DORY,7.75,4,0.5161290322580645
STP,5.25,3,0.5714285714285714
TLAIB,6.0,3,0.5
SKIRACES,5.0,4,0.8
PORTS,3.25,3,0.9230769230769232
SHEER,6.0,3,0.5
ACA,5.0,4,0.8
MOREL,4.75,4,0.8421052631578947
BALI,5.0,5,1.0
OSSIE,3.0,2,0.6666666666666666
IOC,7.0,5,0.7142857142857143
KUALA,3.0,3,1.0
UHURU,7.0,4,0.5714285714285714
MARIA,5.25,4,0.7619047619047619
CARTE,3.0,3,1.0
SERTA,3.0,3,1.0
ROI,4.0,4,1.0
DEL,3.5,2,0.5714285714285714
IOWA,4.0,4,1.0
REO,4.0,4,1.0
SELA,5.0,3,0.6
LADYDI,3.0,2,0.6666666666666666
EVITA,8.0,8,1.0
ACDC,4.0,4,1.0
TLC,3.75,3,0.8
AIRS,3.0,3,1.0
RHEA,5.0,3,0.6
EMMETT,6.0,3,0.5
PAIGE,4.5,4,0.8888888888888888
LANAIS,9.0,5,0.5555555555555556
BOISE,3.25,2,0.6153846153846154
DEI,3.75,3,0.8
DRUHILL,4.0,4,1.0
LEAR,4.0,3,0.75
DHL,4.75,4,0.8421052631578947
ARARAT,5.25,3,0.5714285714285714
PATTI,3.75,2,0.5333333333333333
DOULA,3.25,2,0.6153846153846154
BANAL,4.5,4,0.8888888888888888
TRUANT,4.0,4,1.0
ZAC,4.0,3,0.75
PANAM,4.25,3,0.7058823529411765
ROUGES,3.25,2,0.6153846153846154
ANORAK,3.0,3,1.0
BAHAI,3.0,3,1.0
VOIP,4.0,3,0.75
TROU,3.0,3,1.0
PAZ,4.0,4,1.0
RDA,3.0,3,1.0
RSS,3.0,3,1.0
PTA,5.75,5,0.8695652173913043
AOL,3.0,3,1.0
SXSW,5.0,3,0.6
ESQ,3.0,3,1.0
PHIL,3.0,3,1.0
